monthly_gross_income,statutory_deductions,monthly_net_income,declared_living_expenses,minimum_expense_norm,living_expenses_used,existing_debt_repayments,maintenance_obligations,discretionary_income_before_new_credit,requested_credit_amount,loan_term_months,annual_interest_rate_assumption,proposed_installment,remaining_after_proposed_credit,number_existing_credit_accounts,missed_payments_12m,arrears_amount,defaults_history,employment_months,income_variability_pct,savings_amount,credit_utilisation_pct,affordability_pass,synthetic_risk_probability,faircredit_readiness_score,credit_risk
8598.21,423.38,8174.83,2459.34,1379.22,2459.34,847.49,0.0,4868.0,3273.23,48,0.1593,92.64,4775.36,1,1,0.0,0,9,26.4,1656.36,27.7,1,0.2873,71,1
36553.38,3705.64,32847.74,18386.22,3802.76,18386.22,2581.95,0.0,11879.57,78368.38,12,0.2311,7376.93,4502.64,1,2,0.0,0,5,29.5,11335.32,26.6,1,0.4202,58,1
33541.83,2454.16,31087.67,16786.47,3555.81,16786.47,7294.61,0.0,7006.59,24023.78,12,0.2019,2227.61,4778.98,1,1,0.0,0,61,17.2,2846.31,69.8,1,0.6977,30,1
6599.13,215.04,6384.09,3127.11,1199.3,3127.11,717.69,312.78,2226.51,12265.09,24,0.2747,669.88,1556.63,0,3,4661.54,0,78,19.5,787.54,59.4,1,0.8007,20,1
5990.2,191.78,5798.42,2152.91,1150.34,2152.91,608.6,285.01,2751.9,9081.64,24,0.2457,482.76,2269.14,0,1,0.0,0,28,0.0,785.95,32.0,1,0.2452,75,1
23637.66,1589.83,22047.83,5098.7,2732.77,5098.7,2464.52,0.0,14484.61,20867.15,48,0.12,549.51,13935.1,0,2,6537.2,1,62,13.7,76382.33,36.6,1,0.5064,49,1
2704.0,41.23,2662.77,1021.84,928.52,1021.84,229.22,352.45,1059.26,3303.84,12,0.2288,310.63,748.63,1,1,0.0,0,21,10.2,4214.0,50.7,1,0.4701,53,1
8409.11,251.21,8157.9,2937.85,1362.2,2937.85,244.4,0.0,4975.65,22802.52,36,0.2924,958.52,4017.13,0,1,0.0,0,40,4.0,9956.15,21.7,1,0.215,78,0
4921.52,95.63,4825.89,3044.05,1078.2,3044.05,495.56,0.0,1286.28,2856.88,60,0.2269,80.03,1206.25,1,0,0.0,0,44,15.7,5734.78,26.0,1,0.175,83,1
48654.6,5380.68,43273.92,24758.13,4795.06,24758.13,10066.98,1720.54,6728.27,53722.89,36,0.2654,2180.06,4548.21,4,1,0.0,0,20,15.1,12169.81,18.1,1,0.3845,62,1
14485.41,876.77,13608.64,3233.96,1909.07,3233.96,3294.27,0.0,7080.41,14243.7,60,0.2193,392.84,6687.57,2,0,0.0,0,28,15.6,2637.05,76.7,1,0.4613,54,1
15565.95,903.89,14662.06,5405.78,2006.32,5405.78,2648.14,0.0,6608.14,20927.98,24,0.1923,1057.28,5550.86,1,0,0.0,0,33,15.7,28132.31,51.2,1,0.2514,75,1
31321.45,2538.85,28782.6,11330.24,3373.74,11330.24,6262.32,0.0,11190.04,89318.42,60,0.2705,2729.99,8460.05,3,0,0.0,0,31,16.7,40946.46,61.8,1,0.5411,46,0
8576.51,320.68,8255.83,3004.64,1377.27,3004.64,953.46,0.0,4297.73,20517.74,24,0.193,1037.26,3260.47,0,0,0.0,0,27,15.2,7572.22,28.4,1,0.2035,80,0
16737.47,932.6,15804.87,6256.92,2111.75,6256.92,2980.64,479.23,6088.08,34976.11,36,0.22,1335.8,4752.28,0,1,0.0,0,36,11.0,5714.81,71.1,1,0.444,56,0
1888.07,80.4,1807.67,432.05,873.44,873.44,0.0,0.0,934.23,2313.91,36,0.12,76.85,857.38,0,1,0.0,0,79,3.5,3693.06,32.7,1,0.2059,79,0
2411.72,70.02,2341.7,1112.97,908.79,1112.97,306.69,0.0,922.04,6945.07,36,0.2194,265.02,657.02,0,0,0.0,0,95,33.1,1141.76,65.9,1,0.6246,38,0
23438.04,1755.78,21682.26,6575.21,2714.8,6575.21,2366.1,0.0,12740.95,34152.1,24,0.2228,1776.48,10964.47,1,0,0.0,0,14,20.5,4458.32,40.2,1,0.176,82,1
24056.43,1643.15,22413.28,10048.69,2770.46,10048.69,3589.93,0.0,8774.66,65036.21,12,0.2242,6100.09,2674.57,2,0,0.0,0,46,19.7,16740.94,59.1,1,0.4033,60,0
22430.42,1345.89,21084.53,5240.07,2624.12,5240.07,1654.11,961.91,13228.44,23832.57,60,0.2133,649.15,12579.29,1,0,0.0,0,72,16.1,62721.87,13.0,1,0.0885,91,1
15584.21,983.56,14600.65,7388.41,2007.96,7388.41,1999.57,0.0,5212.67,40335.58,48,0.1956,1218.05,3994.62,1,0,0.0,0,132,20.0,3431.95,24.5,1,0.2237,78,0
23531.84,1724.71,21807.13,11577.05,2723.25,11577.05,633.1,585.83,9011.15,29133.04,36,0.1655,1032.22,7978.93,0,0,0.0,0,17,12.6,9873.57,6.3,1,0.1066,89,0
12427.45,423.09,12004.36,2860.83,1723.85,2860.83,1578.72,467.09,7097.72,15210.29,48,0.2422,497.69,6600.03,1,2,0.0,0,39,18.0,3134.21,55.4,1,0.5473,45,1
17496.45,1015.33,16481.12,6992.15,2180.06,6992.15,1727.8,0.0,7761.17,47366.74,6,0.223,8415.92,-654.75,0,1,0.0,0,51,0.0,3805.53,40.0,0,0.7751,22,1
10413.57,481.98,9931.59,4897.3,1542.6,4897.3,543.14,0.0,4491.15,13434.44,48,0.2261,427.7,4063.45,0,0,0.0,0,51,22.1,10377.27,12.4,1,0.1566,84,0
3955.43,39.55,3915.88,1273.12,1012.99,1273.12,808.38,0.0,1834.38,9606.08,12,0.2628,918.96,915.42,0,1,0.0,0,46,12.7,735.48,97.8,1,0.7371,26,0
9968.83,276.21,9692.62,3458.76,1502.57,3458.76,422.74,0.0,5811.12,7224.04,12,0.2684,693.06,5118.06,0,0,0.0,0,39,8.3,2942.06,30.5,1,0.1607,84,0
11384.29,497.19,10887.1,4932.54,1629.97,4932.54,1775.85,0.0,4178.71,6499.12,18,0.1412,402.76,3775.95,1,0,0.0,0,12,14.8,4588.47,44.0,1,0.4469,55,0
11796.02,256.05,11539.97,4133.49,1667.02,4133.49,0.0,0.0,7406.48,28358.55,24,0.2394,1498.52,5907.96,0,0,8509.53,0,31,15.8,70437.13,5.0,1,0.1365,86,0
35233.66,2637.34,32596.32,12376.1,3694.54,12376.1,8492.36,0.0,11727.86,104621.03,36,0.2745,4296.52,7431.34,3,1,0.0,0,92,19.3,3024.28,96.5,1,0.6963,30,1
10094.96,348.32,9746.64,2758.92,1513.93,2758.92,1250.95,0.0,5736.77,28643.35,36,0.2393,1122.76,4614.01,1,2,0.0,0,79,18.6,4497.15,33.1,1,0.3196,68,0
3134.89,84.05,3050.84,991.08,957.61,991.08,442.65,0.0,1617.11,9014.72,48,0.2416,294.69,1322.42,1,0,0.0,0,14,25.0,284.15,35.6,1,0.1964,80,1
5535.58,180.22,5355.36,2511.35,1119.65,2511.35,344.44,0.0,2499.57,3564.77,12,0.1863,327.88,2171.69,0,0,0.0,0,2,21.3,3414.85,30.2,1,0.2145,79,0
7835.83,376.61,7459.22,3404.39,1310.6,3404.39,867.22,0.0,3187.61,17969.49,18,0.2581,1214.57,1973.04,1,3,0.0,0,90,14.2,2557.93,45.1,1,0.6034,40,0
16909.17,896.57,16012.6,6526.22,2127.21,6526.22,2696.45,0.0,6789.93,31178.98,60,0.12,693.56,6096.37,2,0,0.0,0,14,12.3,10612.99,58.4,1,0.3796,62,1
18958.11,1004.43,17953.68,5112.28,2311.61,5112.28,1250.86,0.0,11590.54,23052.7,6,0.2265,4099.88,7490.66,0,1,0.0,0,50,0.0,12142.48,41.2,1,0.317,68,1
44455.6,4433.5,40022.1,20534.62,4450.74,20534.62,1990.82,0.0,17496.66,39685.55,18,0.1455,2467.37,15029.29,0,1,0.0,0,67,17.3,22357.83,22.0,1,0.1689,83,0
19288.33,1033.62,18254.71,6115.96,2341.33,6115.96,2385.27,0.0,9753.48,24942.36,48,0.2383,810.85,8942.63,0,1,0.0,0,31,12.0,7054.38,70.5,1,0.4101,59,0
9261.62,393.16,8868.46,3219.01,1438.93,3219.01,1155.35,0.0,4494.1,12317.45,36,0.1696,438.88,4055.22,0,1,0.0,1,53,18.9,5656.7,71.1,1,0.7667,23,1
34108.54,3327.83,30780.71,9700.81,3602.28,9700.81,5207.83,2430.61,13441.46,16783.09,48,0.2949,599.36,12842.1,1,1,0.0,0,52,19.6,20787.36,64.5,1,0.3909,61,0
9131.37,344.57,8786.8,3255.45,1427.2,3255.45,845.73,0.0,4685.62,19149.78,24,0.2073,981.49,3704.13,0,1,0.0,0,25,8.8,66416.28,39.0,1,0.2598,74,1
1366.93,32.09,1334.84,456.84,838.27,838.27,223.5,0.0,273.07,1367.23,36,0.1898,50.1,222.97,1,2,0.0,0,30,28.0,2276.96,55.5,1,0.4192,58,0
1814.42,57.62,1756.8,810.47,868.47,868.47,179.21,0.0,709.12,3109.4,24,0.1967,157.76,551.36,1,2,0.0,0,62,3.0,3569.88,30.8,1,0.4606,54,0
14930.26,725.6,14204.66,5534.61,1949.1,5534.61,1338.52,0.0,7331.53,32347.71,60,0.3023,1051.07,6280.46,2,0,0.0,0,14,0.0,1576.13,11.2,1,0.1844,82,0
6270.11,266.28,6003.83,2563.06,1169.69,2563.06,420.16,644.02,2376.59,2083.02,18,0.2341,138.35,2238.24,0,0,0.0,0,62,5.9,4969.9,30.0,1,0.1526,85,0
9080.61,251.63,8828.98,4368.04,1422.63,4368.04,454.83,982.58,3023.53,13234.46,18,0.1885,849.84,2173.69,0,2,0.0,0,28,8.3,2880.3,29.3,1,0.285,71,0
14659.22,681.91,13977.31,5755.88,1924.71,5755.88,1168.47,0.0,7052.96,7144.68,48,0.2597,240.79,6812.17,0,1,0.0,0,44,8.9,18197.1,35.0,1,0.1625,84,0
4753.95,98.17,4655.78,2605.33,1066.89,2605.33,275.95,0.0,1774.5,8261.52,48,0.2448,271.53,1502.97,0,0,0.0,0,11,18.0,5674.97,14.1,1,0.1789,82,0
22446.37,1623.08,20823.29,6183.7,2625.55,6183.7,4491.51,0.0,10148.08,34554.49,6,0.2226,6138.74,4009.34,2,1,0.0,0,20,8.6,15320.31,65.8,1,0.5215,48,1
7447.76,158.19,7289.57,1062.03,1275.68,1275.68,840.41,373.2,4800.28,9175.95,36,0.2217,351.24,4449.04,1,0,0.0,0,72,16.3,818.23,47.2,1,0.4163,58,0
7372.49,206.44,7166.05,2523.23,1268.9,2523.23,600.2,0.0,4042.62,7504.78,18,0.23,496.93,3545.69,0,0,0.0,0,120,0.2,4648.46,35.9,1,0.1634,84,1
10838.05,219.44,10618.61,3465.09,1580.8,3465.09,944.96,868.87,5339.69,19831.57,6,0.2258,3526.28,1813.41,0,1,0.0,0,90,15.5,9109.47,26.4,1,0.4927,51,1
12990.56,643.33,12347.23,5102.58,1774.53,5102.58,1555.64,0.0,5689.01,23039.52,24,0.229,1205.47,4483.54,0,0,0.0,0,31,6.4,2582.28,51.0,1,0.3863,61,0
7953.53,357.64,7595.89,3084.13,1321.2,3084.13,464.81,0.0,4046.95,11768.85,36,0.2726,482.08,3564.87,0,1,0.0,0,23,14.3,14144.03,31.3,1,0.2515,75,0
1592.03,43.96,1548.07,1156.1,853.46,1156.1,83.83,0.0,308.14,4349.95,18,0.1622,273.88,34.26,0,1,0.0,0,48,9.0,1843.06,36.2,1,0.3075,69,1
3613.35,112.29,3501.06,949.64,989.9,989.9,88.8,0.0,2422.36,3482.92,18,0.1918,224.2,2198.16,0,0,0.0,0,41,9.0,1067.1,37.4,1,0.225,78,1
57146.11,8521.37,48624.74,21184.64,5387.74,21184.64,11119.83,0.0,16320.27,120000.0,36,0.2817,4974.55,11345.72,3,1,0.0,0,1,27.0,29408.66,37.0,1,0.3088,69,0
47165.27,5931.53,41233.74,20721.54,4672.93,20721.54,11025.23,0.0,9486.97,117270.9,24,0.2608,6322.81,3164.16,2,2,8656.78,0,49,17.1,154970.82,59.1,1,0.6016,40,0
18412.72,1135.18,17277.54,6191.56,2262.52,6191.56,1911.37,0.0,9174.61,45048.13,18,0.2056,2929.5,6245.11,0,0,0.0,0,12,27.4,32975.47,36.3,1,0.3243,68,1
8691.77,355.59,8336.18,5642.55,1387.64,5642.55,755.21,0.0,1938.42,6525.69,60,0.2739,200.8,1737.62,0,0,0.0,0,5,30.0,10680.03,49.1,1,0.2636,74,1
75060.04,13028.57,62031.47,21359.46,6596.93,21359.46,20300.68,673.36,19697.97,120000.0,18,0.177,7639.69,12058.28,5,5,0.0,0,21,18.1,73264.79,74.1,1,0.7276,27,0
31076.82,2528.63,28548.19,11650.47,3353.68,11650.47,704.28,0.0,16193.44,81133.75,12,0.1255,7229.64,8963.8,0,1,0.0,0,54,18.0,20445.27,10.3,1,0.1434,86,0
14491.4,689.55,13801.85,3654.21,1909.61,3654.21,1258.57,932.05,7957.02,28883.51,24,0.152,1403.27,6553.75,0,1,0.0,0,25,3.4,19050.07,41.6,1,0.3157,68,1
8940.11,279.93,8660.18,4243.7,1409.99,4243.7,799.34,0.0,3617.14,3349.79,60,0.2085,90.34,3526.8,0,0,0.0,0,51,13.8,14749.53,34.2,1,0.2185,78,1
8940.98,169.94,8771.04,1937.1,1410.07,1937.1,1025.68,0.0,5808.26,21541.49,36,0.1919,791.68,5016.58,0,0,0.0,0,47,7.4,4640.57,46.3,1,0.331,67,0
4210.84,50.17,4160.67,2483.09,1030.23,2483.09,576.42,0.0,1101.16,2825.0,18,0.2615,191.41,909.75,0,0,1824.56,0,22,30.0,591.42,78.2,1,0.4876,51,1
25783.62,1908.6,23875.02,10089.42,2919.64,10089.42,4481.95,2578.43,6725.22,48481.45,36,0.2879,2026.06,4699.16,2,1,0.0,0,113,17.1,7555.96,53.2,1,0.3872,61,0
6491.85,248.9,6242.95,3135.41,1189.65,3135.41,477.73,0.0,2629.81,14624.72,12,0.2461,1387.2,1242.61,1,3,0.0,0,7,2.2,532.62,53.1,1,0.6245,38,1
9196.17,324.85,8871.32,3300.96,1433.04,3300.96,1349.49,0.0,4220.87,7470.6,12,0.2218,699.86,3521.01,0,1,0.0,0,13,7.0,1378.46,50.3,1,0.5244,48,0
7342.37,431.74,6910.63,1652.46,1266.19,1652.46,681.16,0.0,4577.01,4843.93,18,0.1715,307.1,4269.91,0,0,0.0,0,19,4.9,1549.13,59.5,1,0.3392,66,0
16154.37,667.85,15486.52,3648.48,2059.27,3648.48,896.3,0.0,10941.74,47254.96,12,0.2313,4448.54,6493.2,1,0,0.0,0,8,14.4,1998.76,5.0,1,0.1779,82,0
9585.14,388.55,9196.59,4747.78,1468.04,4747.78,1333.36,743.14,2372.31,26236.22,36,0.2819,1087.85,1284.46,2,2,6805.89,0,31,11.3,4627.26,31.4,1,0.5438,46,1
40718.78,4784.19,35934.59,18639.85,4144.32,18639.85,3230.99,0.0,14063.75,110976.44,18,0.2369,7385.38,6678.37,1,1,0.0,0,22,12.2,69956.67,16.1,1,0.2226,78,0
15604.83,936.09,14668.74,4685.27,2009.81,4685.27,2927.85,549.54,6506.08,7569.55,24,0.2273,395.44,6110.64,1,2,0.0,0,34,7.8,71316.42,72.1,1,0.3368,66,1
21210.79,1446.88,19763.91,5614.59,2514.35,5614.59,3349.28,0.0,10800.04,40671.74,60,0.2044,1087.63,9712.41,1,1,0.0,0,14,9.7,5746.3,44.6,1,0.4986,50,1
6019.88,234.45,5785.43,2239.03,1152.34,2239.03,909.02,0.0,2637.38,7650.67,48,0.12,201.47,2435.91,0,1,1021.24,0,35,20.0,775.64,81.3,1,0.561,44,1
17928.27,985.99,16942.28,7936.82,2218.92,7936.82,1698.95,2043.36,5263.15,6060.82,36,0.2825,251.53,5011.62,0,0,0.0,0,42,16.5,14093.22,38.4,1,0.2829,72,0
15892.74,1058.34,14834.4,6087.55,2035.73,6087.55,1131.83,1595.51,6019.51,45075.95,36,0.196,1666.02,4353.49,1,0,0.0,0,59,5.0,30693.5,23.4,1,0.1349,87,0
22807.58,1779.18,21028.4,8905.13,2658.06,8905.13,4523.21,0.0,7600.06,9551.81,48,0.2436,313.29,7286.77,1,1,0.0,0,38,12.7,16952.17,69.4,1,0.5164,48,0
2208.67,25.04,2183.63,606.16,895.09,895.09,477.8,381.48,429.26,1545.64,60,0.12,34.38,394.88,3,0,0.0,0,32,0.9,2482.95,69.5,1,0.4634,54,0
11958.81,532.47,11426.34,5603.67,1681.67,5603.67,1649.26,0.0,4173.41,13314.88,60,0.2235,370.41,3803.0,0,3,0.0,0,71,16.1,9306.65,67.3,1,0.5402,46,0
3955.3,39.55,3915.75,1660.6,1012.98,1660.6,345.16,0.0,1909.99,4087.41,12,0.2163,381.82,1528.17,1,0,0.0,0,73,11.1,4379.94,26.6,1,0.2748,73,0
13115.34,774.74,12340.6,4174.1,1785.76,4174.1,1522.53,0.0,6643.97,25341.3,36,0.2189,966.31,5677.66,0,2,0.0,0,82,7.4,4866.84,48.7,1,0.3863,61,1
10404.3,417.54,9986.76,5543.57,1541.77,5543.57,1494.36,0.0,2948.83,27043.17,24,0.2788,1482.66,1466.17,1,3,0.0,1,36,0.0,3947.21,56.1,1,0.7555,24,1
1845.6,60.07,1785.53,929.87,870.58,929.87,173.62,0.0,682.04,2549.26,18,0.2293,168.71,513.33,0,2,0.0,0,86,10.4,262.53,42.5,1,0.4242,58,0
2282.05,43.19,2238.86,1664.77,900.04,1664.77,95.54,0.0,478.55,1798.75,24,0.3083,101.34,377.21,0,1,0.0,1,10,16.7,130.42,17.6,1,0.3985,60,1
21962.69,982.95,20979.74,9815.22,2582.02,9815.22,1980.41,0.0,9184.11,27048.3,60,0.1944,708.15,8475.96,1,1,0.0,0,38,8.9,13915.84,28.8,1,0.2842,72,0
7920.76,465.74,7455.02,1836.93,1318.25,1836.93,1114.65,0.0,4503.44,6627.89,48,0.1469,183.42,4320.02,0,0,0.0,0,110,19.1,8240.13,65.8,1,0.403,60,0
37706.34,3742.91,33963.43,8726.37,3897.3,8726.37,5929.16,0.0,19307.9,20189.66,18,0.2164,1323.48,17984.42,3,0,0.0,0,6,1.9,9716.18,20.6,1,0.2189,78,0
15228.07,586.28,14641.79,3136.68,1975.91,3136.68,2105.88,0.0,9399.23,43825.07,24,0.277,2398.85,7000.38,1,0,0.0,0,25,8.5,9651.17,47.0,1,0.2942,71,1
7109.46,299.3,6810.16,1667.11,1245.23,1667.11,796.91,0.0,4346.14,14361.1,12,0.1319,1283.96,3062.18,0,1,3087.07,1,21,11.1,12766.56,57.9,1,0.6753,32,1
23934.25,2106.55,21827.7,10883.98,2759.46,10883.98,4085.28,0.0,6858.44,8504.45,12,0.2051,789.89,6068.55,1,2,0.0,0,85,18.1,7749.36,75.4,1,0.6458,35,1
